,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
51,6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.0,1.0,0.58,1.0,1
52,6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.0,1.0,0.46,1.0,1
53,6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.0,1.0,0.35,1.0,1
54,6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.0,1.0,0.38,1.0,1
55,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.0,1.0,0.52,1.0,1
56,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.0,1.0,0.5,1.0,1
57,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.0,1.0,0.36,0.0,1
58,6.6,0.38,0.15,4.6,0.044000000000000004,25.0,78.0,0.0,1.0,0.38,1.0,1
59,7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.0,1.0,0.34,1.0,1
60,6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.0,1.0,0.46,0.0,1
61,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.0,1.0,0.36,0.0,1
62,7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.0,1.0,0.34,1.0,0
63,6.6,0.38,0.15,4.6,0.044000000000000004,25.0,78.0,0.0,1.0,0.38,1.0,1
64,7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.0,1.0,0.46,1.0,1
65,6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.0,1.0,0.54,1.0,0
66,6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.0,1.0,0.49,1.0,1
67,6.7,0.25,0.13,1.2,0.040999999999999995,81.0,174.0,0.0,1.0,0.42,1.0,0
68,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.0,1.0,0.64,1.0,1
69,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.0,1.0,0.35,1.0,0
70,6.2,0.27,0.43,7.8,0.055999999999999994,48.0,244.0,0.0,1.0,0.51,1.0,1
71,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.0,1.0,0.6,1.0,0
72,6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.0,1.0,0.71,1.0,0
73,8.6,0.23,0.46,1.0,0.054000000000000006,9.0,72.0,0.0,0.0,0.49,1.0,1
74,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.0,1.0,0.64,1.0,1
75,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.0,1.0,0.35,1.0,0
76,7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.0,1.0,0.37,1.0,1
77,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.0,1.0,0.65,1.0,1
78,7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.0,0.0,0.56,1.0,0
79,6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.0,1.0,0.37,1.0,0
80,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.0,1.0,0.77,1.0,1
81,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.0,1.0,0.6,1.0,1
82,7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.0,1.0,0.42,1.0,0
83,7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.0,1.0,0.46,1.0,1
84,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.0,1.0,0.45,0.0,0
85,7.1,0.44,0.62,11.8,0.044000000000000004,52.0,152.0,0.0,1.0,0.46,0.0,1
86,7.2,0.39,0.63,11.0,0.044000000000000004,55.0,156.0,0.0,1.0,0.44,0.0,1
87,6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.0,1.0,0.48,1.0,1
88,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.0,1.0,0.45,0.0,0
89,7.1,0.44,0.62,11.8,0.044000000000000004,52.0,152.0,0.0,1.0,0.46,0.0,1
90,7.2,0.39,0.63,11.0,0.044000000000000004,55.0,156.0,0.0,1.0,0.44,0.0,1
91,6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.0,1.0,0.47,1.0,0
92,6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.0,1.0,0.4,1.0,1
93,6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.0,1.0,0.41,1.0,1
94,7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.0,1.0,0.44,1.0,1
95,7.1,0.26,0.29,12.4,0.044000000000000004,62.0,240.0,0.0,1.0,0.42,1.0,1
96,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.0,1.0,0.5,0.0,1
97,8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.0,0.0,0.36,1.0,1
98,9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.0,0.0,0.3,1.0,0
99,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.0,1.0,0.5,0.0,1
100,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.0,1.0,0.44,1.0,0
101,7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,0.0,1.0,0.41,1.0,0
102,6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.0,1.0,0.39,1.0,0
103,7.5,0.305,0.4,18.9,0.059000000000000004,44.0,170.0,1.0,0.0,0.46,1.0,0
104,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.0,1.0,0.44,1.0,0
105,7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.0,1.0,0.35,1.0,1
106,7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,0.0,1.0,0.41,1.0,0
107,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.0,1.0,0.59,1.0,1
108,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.0,1.0,0.59,1.0,1
109,6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.0,1.0,0.6,1.0,0
110,6.5,0.17,0.54,8.5,0.08199999999999999,64.0,163.0,0.0,0.0,0.39,0.0,1
111,7.2,0.27,0.46,18.75,0.052000000000000005,45.0,255.0,1.0,1.0,0.52,0.0,0
112,7.2,0.31,0.5,13.3,0.055999999999999994,68.0,195.0,0.0,1.0,0.47,1.0,0
113,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.0,1.0,0.51,1.0,0
114,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.0,1.0,0.51,1.0,0
115,5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.0,1.0,0.4,1.0,0
116,6.0,0.31,0.24,3.3,0.040999999999999995,25.0,143.0,0.0,1.0,0.44,1.0,1
117,7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.0,1.0,0.42,1.0,1
118,7.2,0.31,0.5,13.3,0.055999999999999994,68.0,195.0,0.0,1.0,0.47,1.0,0
119,7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.0,1.0,0.5,1.0,0
120,5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.0,1.0,0.51,1.0,0
121,7.8,0.24,0.32,12.2,0.054000000000000006,42.0,138.0,0.0,1.0,0.54,0.0,0
122,7.4,0.16,0.31,6.85,0.059000000000000004,31.0,131.0,0.0,1.0,0.34,1.0,0
123,6.9,0.19,0.28,5.0,0.057999999999999996,14.0,146.0,0.0,1.0,0.36,1.0,1
124,6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.0,1.0,0.36,1.0,1
125,6.7,0.19,0.36,1.1,0.026000000000000002,63.0,143.0,0.0,1.0,0.48,1.0,1
126,7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.0,1.0,0.42,1.0,0
127,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.0,1.0,0.54,1.0,1
128,6.1,0.3,0.56,2.8,0.044000000000000004,47.0,179.0,0.0,1.0,0.57,1.0,1
129,6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.0,1.0,0.57,1.0,1
130,5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.0,1.0,0.37,1.0,0
131,6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.0,1.0,0.54,1.0,1
132,6.5,0.425,0.4,13.1,0.038,59.0,241.0,0.0,1.0,0.57,1.0,0
133,6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.0,1.0,0.51,1.0,0
134,6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.0,1.0,0.52,0.0,0
135,6.7,0.27,0.31,15.7,0.036000000000000004,44.0,179.0,0.0,1.0,0.56,1.0,0
136,8.2,0.23,0.4,1.2,0.027000000000000003,36.0,121.0,0.0,1.0,0.38,1.0,1
137,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.0,1.0,0.44,0.0,0
138,6.8,0.19,0.36,1.9,0.035,30.0,96.0,0.0,1.0,0.54,1.0,1
139,8.1,0.28,0.39,1.9,0.028999999999999998,18.0,79.0,0.0,1.0,0.52,1.0,1
140,6.3,0.31,0.34,2.2,0.045,20.0,77.0,0.0,1.0,0.43,1.0,0
141,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.0,1.0,0.44,0.0,0
142,7.9,0.21,0.4,1.2,0.039,38.0,107.0,0.0,1.0,0.54,1.0,1
143,8.5,0.21,0.41,4.3,0.036000000000000004,24.0,99.0,0.0,1.0,0.53,1.0,1
144,8.1,0.2,0.4,2.0,0.037000000000000005,19.0,87.0,0.0,1.0,0.54,1.0,1
145,6.3,0.255,0.37,1.1,0.04,37.0,114.0,0.0,1.0,0.39,1.0,1
146,5.6,0.16,0.27,1.4,0.044000000000000004,53.0,168.0,0.0,1.0,0.37,1.0,1
147,6.4,0.595,0.14,5.2,0.057999999999999996,15.0,97.0,0.0,1.0,0.36,1.0,0
148,6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.0,1.0,0.58,1.0,1
149,6.9,0.25,0.3,4.1,0.054000000000000006,23.0,116.0,0.0,0.0,0.38,1.0,1
150,7.9,0.22,0.38,8.0,0.043,46.0,152.0,0.0,1.0,0.32,1.0,1
151,7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.0,1.0,0.43,1.0,1
152,6.9,0.25,0.3,4.1,0.054000000000000006,23.0,116.0,0.0,0.0,0.38,1.0,1
153,7.2,0.18,0.41,1.2,0.048,41.0,97.0,0.0,1.0,0.45,1.0,0
154,8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.0,1.0,0.84,1.0,1
155,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.0,0.0,0.42,0.0,1
156,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.0,0.0,0.42,0.0,1
157,6.1,0.32,0.24,1.5,0.036000000000000004,38.0,124.0,0.0,1.0,0.42,1.0,1
158,5.2,0.44,0.04,1.4,0.036000000000000004,43.0,119.0,0.0,1.0,0.33,1.0,1
159,5.2,0.44,0.04,1.4,0.036000000000000004,43.0,119.0,0.0,1.0,0.33,1.0,1
160,6.1,0.32,0.24,1.5,0.036000000000000004,38.0,124.0,0.0,1.0,0.42,1.0,1
161,6.4,0.22,0.56,14.5,0.055,27.0,159.0,0.0,0.0,0.4,1.0,0
162,6.3,0.36,0.3,4.8,0.049,14.0,85.0,0.0,1.0,0.39,1.0,0
163,7.4,0.24,0.42,14.0,0.066,48.0,198.0,0.0,0.0,0.42,0.0,1
164,6.7,0.24,0.35,13.1,0.05,64.0,205.0,0.0,1.0,0.5,1.0,0
165,7.0,0.23,0.36,13.0,0.051,72.0,177.0,0.0,1.0,0.49,1.0,0
166,8.4,0.27,0.46,8.7,0.048,39.0,197.0,0.0,1.0,0.59,1.0,1
167,6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.0,1.0,0.44,1.0,1
168,7.5,0.29,0.31,8.95,0.055,20.0,151.0,0.0,1.0,0.54,1.0,0
169,9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.0,0.0,0.29,1.0,0
170,7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.0,1.0,0.54,1.0,1
171,7.9,0.19,0.45,1.5,0.045,17.0,96.0,0.0,1.0,0.39,1.0,1
172,7.6,0.48,0.37,0.8,0.037000000000000005,4.0,100.0,0.0,1.0,0.39,1.0,0
173,6.3,0.22,0.43,4.55,0.038,31.0,130.0,0.0,1.0,0.33,1.0,1
174,7.5,0.27,0.31,17.7,0.051,33.0,173.0,0.0,1.0,0.64,1.0,0
175,6.9,0.23,0.4,7.5,0.04,50.0,151.0,0.0,1.0,0.27,1.0,1
176,7.2,0.32,0.47,5.1,0.044000000000000004,19.0,65.0,0.0,1.0,0.41,1.0,0
177,5.9,0.23,0.3,12.9,0.054000000000000006,57.0,170.0,0.0,1.0,0.39,1.0,0
178,6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.0,1.0,0.35,0.0,0
179,6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.0,1.0,0.68,1.0,1
180,6.4,0.33,0.31,5.5,0.048,42.0,173.0,0.0,1.0,0.66,1.0,1
181,7.1,0.34,0.15,1.2,0.053,61.0,183.0,0.0,1.0,0.43,1.0,0
182,6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.0,0.0,0.5,0.0,0
183,6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.0,1.0,0.58,1.0,1
184,6.8,0.26,0.56,11.9,0.043,64.0,226.0,0.0,1.0,0.63,1.0,0
185,6.8,0.29,0.56,11.9,0.043,66.0,230.0,0.0,1.0,0.63,1.0,0
186,6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.0,1.0,0.61,1.0,1
187,5.9,0.3,0.23,4.2,0.038,42.0,119.0,0.0,1.0,0.5,1.0,0
188,6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.0,1.0,0.57,1.0,1
189,6.5,0.28,0.28,8.5,0.047,54.0,210.0,0.0,1.0,0.54,0.0,0
190,6.6,0.28,0.28,8.5,0.052000000000000005,55.0,211.0,0.0,1.0,0.55,0.0,1
191,6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.0,0.0,0.5,0.0,0
192,6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.0,1.0,0.37,1.0,1
193,6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.0,1.0,0.42,1.0,0
194,6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.0,1.0,0.41,1.0,0
195,6.4,0.3,0.45,3.5,0.19699999999999998,76.0,180.0,0.0,1.0,0.39,1.0,1
196,6.4,0.29,0.44,3.6,0.19699999999999998,75.0,183.0,0.0,1.0,0.38,1.0,0
197,6.8,0.26,0.24,7.8,0.052000000000000005,54.0,214.0,0.0,1.0,0.47,0.0,0
198,7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.0,1.0,0.49,0.0,0
199,6.8,0.26,0.24,7.8,0.052000000000000005,54.0,214.0,0.0,1.0,0.47,0.0,0
200,6.8,0.27,0.26,16.1,0.049,55.0,196.0,0.0,1.0,0.5,1.0,0
201,7.1,0.32,0.24,13.1,0.05,52.0,204.0,0.0,1.0,0.49,0.0,0
202,6.9,0.54,0.32,13.2,0.05,53.0,236.0,0.0,1.0,0.5,1.0,0
203,6.8,0.26,0.34,13.9,0.034,39.0,134.0,0.0,1.0,0.53,1.0,1
204,5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.0,1.0,0.5,1.0,0
205,6.4,0.21,0.5,11.6,0.042,45.0,153.0,0.0,1.0,0.43,0.0,0
206,7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.0,1.0,0.34,1.0,0
207,10.2,0.44,0.88,6.2,0.049,20.0,124.0,0.0,0.0,0.51,1.0,0
208,6.8,0.57,0.29,2.2,0.04,15.0,77.0,0.0,1.0,0.74,1.0,0
209,6.1,0.4,0.31,0.9,0.048,23.0,170.0,0.0,1.0,0.77,1.0,1
210,5.6,0.245,0.25,9.7,0.032,12.0,68.0,0.0,1.0,0.34,1.0,0
211,6.8,0.18,0.38,1.4,0.038,35.0,111.0,0.0,1.0,0.59,1.0,1
212,7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.0,1.0,0.34,1.0,0
213,6.7,0.13,0.29,5.3,0.051,31.0,122.0,0.0,1.0,0.37,1.0,1
214,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.0,1.0,0.44,1.0,1
215,5.8,0.26,0.24,9.2,0.044000000000000004,55.0,152.0,0.0,1.0,0.38,1.0,0
216,7.5,0.27,0.36,7.0,0.036000000000000004,45.0,164.0,0.0,1.0,0.33,1.0,0
217,5.8,0.26,0.24,9.2,0.044000000000000004,55.0,152.0,0.0,1.0,0.38,1.0,0
218,5.7,0.28,0.24,17.5,0.044000000000000004,60.0,167.0,0.0,1.0,0.44,1.0,0
219,7.5,0.23,0.36,7.0,0.036000000000000004,43.0,161.0,0.0,1.0,0.32,1.0,0
220,7.5,0.27,0.36,7.0,0.036000000000000004,45.0,164.0,0.0,1.0,0.33,1.0,0
221,7.2,0.685,0.21,9.5,0.07,33.0,172.0,0.0,1.0,0.55,1.0,1
222,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.0,1.0,0.44,1.0,1
223,6.5,0.19,0.3,0.8,0.043,33.0,144.0,0.0,1.0,0.39,1.0,1
224,6.3,0.495,0.22,1.8,0.046,31.0,140.0,0.0,1.0,0.54,1.0,1
225,7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.0,1.0,0.39,0.0,0
226,6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.0,1.0,0.5,1.0,1
227,7.1,0.25,0.32,10.3,0.040999999999999995,66.0,272.0,0.0,1.0,0.52,1.0,1
228,6.4,0.17,0.32,2.4,0.048,41.0,200.0,0.0,1.0,0.5,1.0,1
229,7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.0,1.0,0.39,0.0,0
230,6.8,0.64,0.08,9.7,0.062,26.0,142.0,0.0,1.0,0.46,0.0,0
231,8.3,0.28,0.4,7.8,0.040999999999999995,38.0,194.0,0.0,1.0,0.51,1.0,1
232,8.2,0.27,0.39,7.8,0.039,49.0,208.0,0.0,1.0,0.51,1.0,1
233,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
234,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
235,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
236,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,0.0,1.0,0.44,1.0,1
237,6.8,0.52,0.32,13.2,0.044000000000000004,54.0,221.0,0.0,1.0,0.5,1.0,1
238,7.0,0.26,0.59,1.4,0.037000000000000005,40.0,120.0,0.0,1.0,0.41,1.0,1
239,6.2,0.25,0.21,15.55,0.039,28.0,159.0,0.0,1.0,0.64,1.0,1
240,7.3,0.32,0.23,13.7,0.05,49.0,197.0,0.0,1.0,0.46,0.0,0
241,7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.0,1.0,0.5,1.0,0
242,7.1,0.21,0.37,2.4,0.026000000000000002,23.0,100.0,0.0,1.0,0.38,1.0,1
243,6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.0,1.0,0.58,1.0,1
244,6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.0,1.0,0.46,0.0,0
245,6.1,0.18,0.36,2.0,0.038,20.0,249.5,0.0,1.0,0.79,1.0,1
246,6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.0,1.0,0.61,1.0,1
247,5.8,0.2,0.27,1.4,0.031,12.0,77.0,0.0,1.0,0.36,1.0,1
248,5.6,0.19,0.26,1.4,0.03,12.0,76.0,0.0,1.0,0.37,1.0,1
249,6.1,0.41,0.14,10.4,0.037000000000000005,18.0,119.0,0.0,1.0,0.45,1.0,0
250,5.9,0.21,0.28,4.6,0.053,40.0,199.0,0.0,1.0,0.7,1.0,0
251,8.5,0.26,0.21,16.2,0.07400000000000001,41.0,197.0,0.0,1.0,0.5,1.0,0
252,6.9,0.4,0.56,11.2,0.043,40.0,142.0,0.0,1.0,0.46,0.0,0
253,5.8,0.24,0.44,3.5,0.028999999999999998,5.0,109.0,0.0,1.0,0.43,1.0,0
254,5.8,0.24,0.39,1.5,0.054000000000000006,37.0,158.0,0.0,1.0,0.52,1.0,1
255,6.7,0.26,0.39,1.1,0.04,45.0,147.0,0.0,1.0,0.58,1.0,1
256,6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.0,1.0,0.41,1.0,1
257,6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.0,1.0,0.41,1.0,1
258,6.4,0.23,0.39,1.8,0.032,23.0,118.0,0.0,1.0,0.5,1.0,1
259,5.8,0.36,0.38,0.9,0.037000000000000005,3.0,75.0,0.0,1.0,0.34,1.0,0
260,6.9,0.115,0.35,5.4,0.048,36.0,108.0,0.0,1.0,0.42,1.0,1
261,6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.0,0.0,0.47,0.0,0
262,6.9,0.28,0.4,8.2,0.036000000000000004,15.0,95.0,0.0,1.0,0.33,1.0,0
263,7.2,0.29,0.4,13.6,0.045,66.0,231.0,0.0,1.0,0.59,1.0,1
264,6.2,0.24,0.35,1.2,0.038,22.0,167.0,0.0,1.0,0.48,1.0,1
265,6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.0,0.0,0.47,0.0,0
266,6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.0,1.0,0.51,1.0,1
267,5.3,0.58,0.07,6.9,0.043,34.0,149.0,0.0,1.0,0.57,1.0,0
268,5.3,0.585,0.07,7.1,0.044000000000000004,34.0,145.0,0.0,1.0,0.57,1.0,1
269,5.4,0.59,0.07,7.0,0.045,36.0,147.0,0.0,1.0,0.57,1.0,1
270,6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.0,1.0,0.51,1.0,1
271,5.2,0.6,0.07,7.0,0.044000000000000004,33.0,147.0,0.0,1.0,0.58,1.0,0
272,5.8,0.25,0.26,13.1,0.051,44.0,148.0,0.0,1.0,0.38,1.0,0
273,6.6,0.58,0.3,5.1,0.057,30.0,123.0,0.0,1.0,0.38,1.0,0
274,7.0,0.29,0.54,10.7,0.046,59.0,234.0,0.0,1.0,0.61,1.0,0
275,6.6,0.19,0.41,8.9,0.046,51.0,169.0,0.0,1.0,0.57,1.0,1
276,6.7,0.2,0.41,9.1,0.044000000000000004,50.0,166.0,0.0,1.0,0.58,1.0,1
277,7.7,0.26,0.4,1.1,0.042,9.0,60.0,0.0,0.0,0.5,1.0,0
278,6.8,0.32,0.34,1.2,0.044000000000000004,14.0,67.0,0.0,1.0,0.47,1.0,0
279,7.0,0.3,0.49,4.7,0.036000000000000004,17.0,105.0,0.0,1.0,0.68,1.0,1
